SNo,Surname,OtherNames,CountyCode,County,ConstituencyCode,ConstituencyName,CAWCode,CAWName,PartyCode,PartyName,PartyAbbreviation,ElectionType
116,Muchelule,David Moi Henry,037,Kakamega,208,Khwisero,1038,Kisa East,017,Agano National Party,AGANO,County Assembly
117,Isaiah,Ayaya Abraham,037,Kakamega,208,Khwisero,1038,Kisa East,085,Democratic Action Party - Kenya,DAP-K,County Assembly
118,Okwiri,Dickson Aduda,037,Kakamega,208,Khwisero,1038,Kisa East,0103,Democracy for the Citizens Party,DCP,County Assembly
119,Namai,Raphael Mukolwe,037,Kakamega,208,Khwisero,1038,Kisa East,090,Democratic National Alliance,DNA,County Assembly
120,Uside,Pauline,,037,Kakamega,208,Khwisero,1038,Kisa East,077,Justice and Freedom Party of Kenya,JFP,County Assembly
121,Mumia,Maclean Khatete,037,Kakamega,208,Khwisero,1038,Kisa East,033,Kenya African National Union,KANU,County Assembly
122,Otwoma,Joel Ongoro,037,Kakamega,208,Khwisero,1038,Kisa East,072,Movement for Democracy and Growth,MDG,County Assembly
123,Shikunyi,John Masetu,037,Kakamega,208,Khwisero,1038,Kisa East,021,Orange Democratic Movement,ODM,County Assembly
124,Shiraku,James,,037,Kakamega,208,Khwisero,1038,Kisa East,015,United Democratic Alliance,UDA,County Assembly
125,Nyabuto,Stephen Amwayi,037,Kakamega,208,Khwisero,1038,Kisa East,041,United Democratic Movement,UDM,County Assembly
126,Okumali,Douglas Shirote,037,Kakamega,208,Khwisero,1038,Kisa East,064,United Democratic Party,UDP,County Assembly
127,Kutswa,Phanice Sebenzia,039,Bungoma,218,Kabuchai,1085,Kabuchai/Chwele,085,Democratic Action Party - Kenya,DAP-K,County Assembly
128,Maunda,Vincent Wekesa,039,Bungoma,218,Kabuchai,1085,Kabuchai/Chwele,023,Forum for Restoration of Democracy - Kenya,FORD-KENYA,County Assembly
129,Wekesa,Eric,,039,Bungoma,218,Kabuchai,1085,Kabuchai/Chwele,IND,Independent,IND,County Assembly
130,Barasa,Samwel Joel,039,Bungoma,218,Kabuchai,1085,Kabuchai/Chwele,077,Justice and Freedom Party of Kenya,JFP,County Assembly
131,Wanyonyi,Evans Barasa,039,Bungoma,218,Kabuchai,1085,Kabuchai/Chwele,011,Kenya Moja Movement,KMM,County Assembly
132,Tanganyika,Dan Simiyu,039,Bungoma,218,Kabuchai,1085,Kabuchai/Chwele,0100,The Equitable Party,TEP,County Assembly
133,Totli,Margaret Nabwala,039,Bungoma,218,Kabuchai,1085,Kabuchai/Chwele,040,The New Democrats,TND,County Assembly
134,Mukhongo,Kizito Matimbai,039,Bungoma,218,Kabuchai,1085,Kabuchai/Chwele,0102,The We Alliance Party,TWAP,County Assembly
135,Murunga,Elizabeth Situma,039,Bungoma,218,Kabuchai,1085,Kabuchai/Chwele,015,United Democratic Alliance,UDA,County Assembly
136,Saul,Twabe Nyonga,046,Nyamira,271,West Mugirango,1352,Nyamaiya,0103,Democracy for the Citizens Party,DCP,County Assembly
137,Nyambati,Evans James,046,Nyamira,271,West Mugirango,1352,Nyamaiya,090,Democratic National Alliance,DNA,County Assembly
138,Omboto,Richard Monyancha,046,Nyamira,271,West Mugirango,1352,Nyamaiya,087,Chama Cha Kazi,KAZI,County Assembly
139,Kihore,Martin Nyangan,046,Nyamira,271,West Mugirango,1352,Nyamaiya,021,Orange Democratic Movement,ODM,County Assembly
140,Sese,Rose Mona,046,Nyamira,271,West Mugirango,1352,Nyamaiya,025,Progressive Party of Kenya,PPOK,County Assembly
141,Nyandieka,Thomas Onchaba,046,Nyamira,271,West Mugirango,1352,Nyamaiya,015,United Democratic Alliance,UDA,County Assembly
142,Christopher,Moturi Osiemo,046,Nyamira,271,West Mugirango,1352,Nyamaiya,081,United Progressive Alliance,UPA,County Assembly
143,Nyangaresi,Daniel Amoro,046,Nyamira,271,West Mugirango,1352,Nyamaiya,046,United Party of Independent Alliance,UPIA,County Assembly
144,Tweya,James Tweya,046,Nyamira,271,West Mugirango,1352,Nyamaiya,012,Wiper Patriotic Front,WPF,County Assembly
145,Nyang'au,Silus Kerosi,046,Nyamira,272,North Mugirango,1361,Ekerenyo,055,Alliance for Change Party,AFC,County Assembly
146,Kongo,Dominic Gesora,046,Nyamira,272,North Mugirango,1361,Ekerenyo,0103,Democracy for the Citizens Party,DCP,County Assembly
147,Ongori,Margret Nyanchama,046,Nyamira,272,North Mugirango,1361,Ekerenyo,023,Forum for Restoration of Democracy - Kenya,FORD-KENYA,County Assembly
148,Morara,Hyline Kerubo,046,Nyamira,272,North Mugirango,1361,Ekerenyo,009,Kenya National Congress,KNC,County Assembly
149,Mong'iti,Philip Masenge,046,Nyamira,272,North Mugirango,1361,Ekerenyo,019,Kenya Social Congress,KSC,County Assembly
150,Nyamasege,Nicoluse Omoti,046,Nyamira,272,North Mugirango,1361,Ekerenyo,044,Party of Democratic Unity,PDU,County Assembly
151,Ndubi,Francis Amenya,046,Nyamira,272,North Mugirango,1361,Ekerenyo,015,United Democratic Alliance,UDA,County Assembly
152,Ongaro,Jeremiah Njenga,046,Nyamira,272,North Mugirango,1361,Ekerenyo,081,United Progressive Alliance,UPA,County Assembly
153,Nyanumba,Shem Makori,046,Nyamira,272,North Mugirango,1361,Ekerenyo,012,Wiper Patriotic Front,WPF,County Assembly
154,Oeri,John Obai,046,Nyamira,273,Borabu,1364,Nyansiongo,013,Democratic Party of Kenya,DP,County Assembly
155,Mosebi,Alexander Mogeni,046,Nyamira,273,Borabu,1364,Nyansiongo,033,Kenya African National Union,KANU,County Assembly
156,Moganda,Ogata,,046,Nyamira,273,Borabu,1364,Nyansiongo,011,Kenya Moja Movement,KMM,County Assembly
157,Mogaka,Dickson Machungo,046,Nyamira,273,Borabu,1364,Nyansiongo,021,Orange Democratic Movement,ODM,County Assembly
158,Mochumbe,Jackson Mogusu,046,Nyamira,273,Borabu,1364,Nyansiongo,039,Peoples Democratic Party,PDP,County Assembly
159,Onsase,Vincent Nyanchoka,046,Nyamira,273,Borabu,1364,Nyansiongo,025,Progressive Party of Kenya,PPOK,County Assembly
160,Nyaribo,Dennis Kebaso,046,Nyamira,273,Borabu,1364,Nyansiongo,015,United Democratic Alliance,UDA,County Assembly
161,Omwancha,Kevin Maranga,046,Nyamira,273,Borabu,1364,Nyansiongo,081,United Progressive Alliance,UPA,County Assembly
162,Nyantika,Alex Obare,046,Nyamira,273,Borabu,1364,Nyansiongo,012,Wiper Patriotic Front,WPF,County Assembly
163,Mbutiha,Joseph Macharia,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,055,Alliance for Change Party,AFC,County Assembly
164,Warui,David Wanyolke,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,0103,Democracy for the Citizens Party,DCP,County Assembly
165,Mala,Daniel Odhiambo,047,Nairobi City,283,Embakasi North,1411,Kariobangi North,IND,Independent,IND,County Assembly
